Date,Product,Region,Sales,Customer_Age,Customer_Gender,Customer_Satisfaction
2022-03-16,Widget A,South,579,66,Male,1.13
2022-03-16,Widget B,North,701,48,Female,3.24
2022-03-17,Widget C,North,988,65,Female,1.09
2022-03-19,Widget C,West,429,46,Male,2.77
2022-03-20,Widget C,East,461,65,Male,1.51
2022-03-21,Widget C,East,716,67,Male,4.77
2022-03-23,Widget C,East,354,65,Female,1.79
2022-03-24,Widget A,East,451,21,Male,4.17
2022-03-25,Widget D,East,175,66,Female,2.32
2022-03-27,Widget B,North,921,61,Female,1.55
2022-03-28,Widget C,North,992,64,Male,2.66
2022-03-29,Widget B,North,782,42,Female,2.26
2022-03-31,Widget A,West,116,61,Male,4.5
2022-03-31,Widget C,North,815,51,Male,1.84
2022-03-31,Widget D,East,372,24,Male,1.8
2022-04-01,Widget A,North,666,46,Female,4.24
2022-04-02,Widget A,East,138,36,Male,1.88
2022-04-03,Widget D,South,967,64,Male,2.52
2022-04-05,Widget C,East,829,54,Male,3.79
2022-04-05,Widget D,East,756,23,Male,1.28
2022-04-06,Widget C,West,331,64,Female,2.76
2022-04-08,Widget C,West,685,38,Female,3.92
2022-04-09,Widget D,South,801,59,Male,2.72
2022-04-12,Widget A,North,410,19,Male,4.92
2022-04-12,Widget B,South,871,66,Female,1.37
2022-04-14,Widget B,South,875,41,Male,3.39
2022-04-15,Widget C,North,640,39,Female,2.55
2022-04-16,Widget B,North,775,36,Female,4.11
2022-04-16,Widget A,North,908,34,Male,4.64
2022-04-17,Widget D,South,233,65,Female,4.7
2022-04-18,Widget B,West,732,55,Male,3.42
2022-04-21,Widget A,West,375,48,Male,3.88
2022-04-21,Widget A,South,515,57,Male,3.21
2022-04-23,Widget A,West,108,53,Male,4.3
2022-04-25,Widget C,West,306,56,Female,1.02
2022-04-26,Widget C,North,319,23,Male,4.82
2022-04-27,Widget C,South,554,34,Male,3.87
2022-04-27,Widget B,West,757,34,Female,2.17
2022-04-27,Widget D,West,497,57,Male,2.61
2022-04-28,Widget D,West,183,42,Female,4.79
2022-04-29,Widget D,East,964,63,Male,2.36
2022-04-30,Widget D,South,212,29,Male,4.75
2022-05-03,Widget A,West,336,51,Male,1.86
2022-05-04,Widget B,West,280,33,Male,1.92
2022-05-06,Widget A,East,556,51,Female,1.35
2022-05-06,Widget C,West,889,19,Female,3.29
2022-05-07,Widget C,East,382,68,Female,4.12
2022-05-08,Widget C,North,424,28,Male,3.88
2022-05-08,Widget D,South,414,58,Male,1.34
2022-05-08,Widget B,East,243,58,Female,4.39
2022-05-09,Widget D,East,787,26,Male,4.75
2022-05-10,Widget C,South,583,52,Male,2.63
2022-05-10,Widget D,North,452,48,Male,4.17
2022-05-10,Widget B,North,489,41,Female,4.79
2022-05-10,Widget A,West,689,51,Male,2.69
2022-05-11,Widget C,West,267,53,Male,4.9
2022-05-11,Widget D,North,609,19,Male,2.11
2022-05-11,Widget A,East,710,18,Male,1.36
2022-05-12,Widget C,North,965,47,Male,1.29
2022-05-14,Widget B,East,610,42,Male,1.73
2022-05-14,Widget B,North,682,26,Female,3.2
2022-05-17,Widget D,East,249,34,Female,3.97
2022-05-18,Widget A,West,191,26,Male,3.2
2022-05-18,Widget A,West,169,49,Female,4.41
2022-05-19,Widget B,West,366,53,Male,1.88
2022-05-21,Widget D,North,591,49,Male,1.51
2022-05-23,Widget D,West,417,53,Female,4.38
2022-05-24,Widget A,South,946,42,Male,3.36
2022-05-26,Widget C,West,929,45,Female,3.22
2022-05-26,Widget A,North,264,30,Male,3.01
2022-05-27,Widget B,South,874,43,Male,2.41
2022-05-27,Widget C,South,798,57,Male,1.69
2022-05-28,Widget B,West,935,25,Female,1.89
2022-05-28,Widget D,East,489,43,Male,3.61
2022-05-29,Widget A,South,409,32,Male,4.33
2022-05-29,Widget A,West,170,22,Female,4.22
2022-05-29,Widget B,East,105,35,Female,1.78
2022-06-03,Widget D,East,103,41,Male,1.0
2022-06-03,Widget C,East,167,41,Female,2.57
2022-06-04,Widget B,North,812,31,Male,2.82
2022-06-08,Widget C,South,572,50,Female,1.01
2022-06-09,Widget D,West,129,32,Male,1.15
2022-06-09,Widget C,North,777,24,Male,1.75
2022-06-10,Widget D,East,765,53,Male,3.62
2022-06-10,Widget D,East,321,62,Male,3.55
2022-06-11,Widget B,North,328,67,Female,2.63
2022-06-11,Widget A,West,931,54,Female,3.93
2022-06-12,Widget A,North,422,39,Female,1.34
2022-06-13,Widget D,West,578,46,Female,4.8
2022-06-13,Widget C,South,946,58,Male,2.89
2022-06-14,Widget D,South,429,62,Female,4.95
2022-06-14,Widget C,North,273,61,Female,2.56
2022-06-15,Widget D,East,346,48,Female,1.44
2022-06-15,Widget B,South,258,55,Male,2.88
2022-06-17,Widget B,North,581,32,Male,3.07
2022-06-19,Widget A,South,674,59,Female,1.81
2022-06-21,Widget A,South,325,63,Female,3.46
2022-06-22,Widget D,South,342,18,Female,4.26
2022-06-22,Widget A,East,168,61,Male,1.58
2022-06-30,Widget B,South,947,37,Female,2.53
2022-07-01,Widget B,North,919,54,Female,3.13
2022-07-02,Widget B,East,150,62,Male,1.24
2022-07-02,Widget D,North,772,43,Male,3.8
2022-07-02,Widget D,East,198,53,Female,2.47
2022-07-05,Widget B,North,919,66,Female,4.57
2022-07-06,Widget A,East,200,18,Female,1.34
2022-07-06,Widget B,East,652,33,Female,4.31
2022-07-07,Widget A,East,995,36,Female,3.13
2022-07-07,Widget C,North,133,46,Female,1.72
2022-07-09,Widget B,West,678,50,Male,1.35
2022-07-09,Widget A,East,828,28,Male,4.56
2022-07-09,Widget B,East,107,40,Male,2.31
2022-07-09,Widget C,North,191,53,Male,3.72
2022-07-10,Widget B,North,486,28,Male,1.08
2022-07-10,Widget D,North,696,67,Male,2.39
2022-07-13,Widget C,West,112,41,Male,3.15
2022-07-13,Widget D,West,915,66,Male,1.43
2022-07-17,Widget C,East,830,27,Male,2.78
2022-07-17,Widget A,North,903,24,Male,2.51
2022-07-17,Widget C,West,852,41,Female,1.84
2022-07-17,Widget D,East,951,64,Male,3.1
2022-07-20,Widget D,North,566,20,Female,4.51
2022-07-21,Widget A,South,586,38,Female,1.35
2022-07-21,Widget A,East,898,48,Female,2.09
2022-07-22,Widget D,North,100,42,Female,1.39
2022-07-22,Widget A,South,857,54,Female,4.49
2022-07-24,Widget A,South,909,42,Female,2.73
2022-07-24,Widget A,East,934,21,Female,3.4
2022-07-26,Widget B,East,711,59,Female,4.41
2022-07-27,Widget D,South,775,45,Female,1.74
2022-07-27,Widget B,North,678,65,Female,2.66
2022-08-01,Widget A,North,157,27,Male,3.79
2022-08-02,Widget D,East,187,20,Female,2.92
2022-08-04,Widget D,North,781,56,Male,1.01
2022-08-04,Widget D,East,629,40,Male,1.14
2022-08-05,Widget D,East,986,26,Male,2.24
2022-08-05,Widget A,North,490,57,Female,1.97
2022-08-05,Widget B,West,725,40,Female,4.41
2022-08-12,Widget A,West,546,25,Female,4.46
2022-08-13,Widget D,South,792,44,Male,4.56
2022-08-14,Widget D,North,485,66,Female,2.36
2022-08-14,Widget B,North,877,40,Female,1.56
2022-08-15,Widget D,South,818,34,Male,3.87
2022-08-17,Widget A,South,222,50,Male,2.38
2022-08-20,Widget B,South,781,45,Female,4.56
2022-08-21,Widget A,North,353,42,Female,1.3
2022-08-23,Widget A,South,180,36,Female,2.47
2022-08-23,Widget C,South,944,52,Male,4.48
2022-08-24,Widget D,West,181,43,Male,3.91
2022-08-24,Widget B,West,868,66,Female,1.18
2022-08-25,Widget B,East,167,48,Female,3.02
2022-08-25,Widget A,East,984,32,Male,3.65
2022-08-26,Widget D,North,582,67,Male,2.2
2022-08-30,Widget D,West,457,47,Female,1.39
2022-08-30,Widget C,East,205,64,Male,1.37
2022-08-30,Widget A,North,435,56,Male,3.23
2022-08-30,Widget D,West,263,50,Male,2.02
2022-08-31,Widget D,West,623,28,Female,3.37
2022-09-01,Widget C,South,145,62,Male,4.47
2022-09-02,Widget B,East,687,34,Female,2.59
2022-09-03,Widget B,East,796,26,Male,3.29
2022-09-06,Widget A,West,882,32,Male,4.02
2022-09-07,Widget A,West,685,50,Female,4.51
2022-09-07,Widget A,West,189,68,Female,2.55
2022-09-08,Widget C,West,614,55,Male,2.01
2022-09-08,Widget C,West,563,65,Male,2.3
2022-09-11,Widget B,South,690,48,Male,2.1
2022-09-11,Widget C,East,690,41,Female,2.36
2022-09-13,Widget B,South,541,46,Female,2.55
2022-09-13,Widget C,South,146,49,Female,3.46
2022-09-18,Widget A,West,730,57,Female,1.72
2022-09-18,Widget B,West,272,39,Female,3.79
2022-09-19,Widget D,North,727,53,Male,4.11
2022-09-20,Widget D,North,597,41,Male,4.38
2022-09-20,Widget D,South,369,44,Female,4.13
2022-09-22,Widget D,South,798,68,Male,2.32
2022-09-23,Widget A,East,514,64,Male,4.46
2022-09-23,Widget B,North,342,35,Female,4.18
2022-09-25,Widget D,South,823,56,Male,4.8
2022-09-26,Widget A,South,571,51,Male,1.28
2022-09-27,Widget C,North,714,20,Male,3.87
2022-09-27,Widget A,South,938,40,Male,4.12
2022-09-29,Widget B,North,923,25,Female,2.33
2022-10-01,Widget C,South,511,21,Female,3.73
2022-10-03,Widget C,North,776,26,Female,2.7
2022-10-05,Widget A,South,628,47,Female,2.57
2022-10-08,Widget A,North,454,42,Male,1.68
2022-10-09,Widget C,South,265,46,Male,2.01
2022-10-10,Widget D,East,429,21,Male,3.13
2022-10-12,Widget B,North,827,67,Female,3.72
2022-10-12,Widget A,East,276,53,Male,2.06
2022-10-12,Widget C,South,642,25,Female,2.14
2022-10-13,Widget B,South,104,43,Male,1.7
2022-10-13,Widget B,East,166,43,Female,2.14
2022-10-20,Widget B,South,136,30,Male,1.03
2022-10-21,Widget B,West,382,21,Female,3.06
2022-10-22,Widget D,West,467,47,Male,1.48
2022-10-22,Widget B,West,688,33,Female,3.83
2022-10-28,Widget D,South,829,63,Female,2.79
2022-10-29,Widget D,West,372,19,Female,3.07
2022-10-29,Widget B,South,741,27,Female,2.2
2022-10-30,Widget B,East,298,33,Male,4.92
2022-10-30,Widget C,North,780,58,Male,1.15
2022-10-31,Widget A,West,702,46,Female,1.42
2022-11-01,Widget C,West,993,47,Female,2.92
2022-11-03,Widget A,South,822,41,Female,4.71
2022-11-04,Widget B,North,854,69,Male,2.01
2022-11-07,Widget D,East,216,61,Female,1.66
2022-11-07,Widget D,East,466,56,Female,2.25
2022-11-07,Widget A,South,141,50,Male,2.48
2022-11-08,Widget A,North,615,30,Male,3.76
2022-11-09,Widget C,West,381,37,Female,3.29
2022-11-10,Widget C,South,354,34,Male,3.85
2022-11-13,Widget C,West,809,29,Female,4.63
2022-11-14,Widget B,South,916,54,Male,4.79
2022-11-14,Widget C,East,383,31,Male,3.34
2022-11-14,Widget B,West,179,27,Male,4.89
2022-11-16,Widget C,West,504,23,Male,2.35
2022-11-17,Widget D,East,463,23,Male,2.59
2022-11-20,Widget C,South,309,18,Male,4.91
2022-11-23,Widget B,East,378,19,Female,4.7
2022-11-24,Widget B,North,287,23,Female,1.8
2022-11-26,Widget D,South,528,60,Male,4.57
2022-11-26,Widget D,South,461,41,Female,3.38
2022-11-27,Widget B,West,308,55,Female,4.93
2022-11-30,Widget D,South,970,62,Male,4.1
2022-12-01,Widget C,East,545,59,Male,1.66
2022-12-02,Widget A,East,380,25,Female,3.36
2022-12-02,Widget B,West,268,40,Female,2.2
2022-12-02,Widget D,South,530,35,Male,1.54
2022-12-03,Widget C,North,435,40,Female,3.05
2022-12-04,Widget B,West,334,64,Male,4.77
2022-12-04,Widget D,East,898,67,Male,3.03
2022-12-04,Widget B,West,451,53,Male,2.33
2022-12-05,Widget B,South,435,59,Male,2.21
2022-12-06,Widget B,North,954,35,Female,3.58
2022-12-07,Widget C,West,202,44,Male,4.03
2022-12-08,Widget D,North,141,41,Female,2.08
2022-12-08,Widget C,South,348,48,Male,2.19
2022-12-08,Widget B,South,594,21,Male,3.32
2022-12-08,Widget C,South,383,64,Male,1.79
2022-12-11,Widget C,East,474,58,Female,4.19
2022-12-12,Widget A,South,156,36,Male,2.53
2022-12-14,Widget D,West,228,23,Female,1.46
2022-12-15,Widget A,West,865,26,Male,2.33
2022-12-16,Widget C,South,937,39,Male,3.8
2022-12-19,Widget A,South,902,65,Male,4.52
2022-12-19,Widget D,South,648,23,Female,1.98
2022-12-22,Widget D,West,451,42,Female,3.97
2022-12-22,Widget C,East,336,31,Male,4.02
2022-12-23,Widget D,North,631,51,Male,3.05
2022-12-24,Widget D,North,196,55,Female,3.22
2022-12-26,Widget D,South,608,54,Female,3.5
2022-12-26,Widget B,South,666,45,Female,1.0
2022-12-26,Widget B,West,973,59,Female,4.1
2022-12-28,Widget B,East,287,63,Female,4.63
2022-12-29,Widget C,West,483,66,Female,1.41
2022-12-29,Widget C,East,138,23,Male,4.87
2022-12-30,Widget A,South,793,51,Female,4.89
2022-12-30,Widget D,South,910,21,Female,2.77
2022-12-31,Widget A,West,167,43,Female,4.6
2022-12-31,Widget C,East,281,35,Male,3.23
2023-01-01,Widget A,South,434,54,Female,1.31
2023-01-05,Widget A,East,151,34,Female,1.23
2023-01-05,Widget C,South,155,23,Female,2.95
2023-01-06,Widget D,West,398,68,Female,1.1
2023-01-08,Widget C,East,288,49,Male,2.29
2023-01-08,Widget A,North,726,54,Female,4.22
2023-01-09,Widget A,South,889,64,Male,4.99
2023-01-10,Widget D,West,680,62,Female,3.01
2023-01-10,Widget C,East,690,18,Male,1.2
2023-01-11,Widget C,West,250,21,Male,3.92
2023-01-11,Widget D,North,496,24,Male,2.97
2023-01-13,Widget B,South,561,34,Male,2.28
2023-01-13,Widget A,West,137,30,Female,2.9
2023-01-14,Widget D,South,951,51,Female,2.37
2023-01-15,Widget D,North,229,20,Male,3.75
2023-01-16,Widget C,East,924,63,Male,4.89
2023-01-19,Widget D,East,291,50,Male,3.84
2023-01-20,Widget C,West,523,42,Male,3.75
2023-01-21,Widget B,West,328,39,Male,4.28
2023-01-21,Widget A,West,711,31,Female,1.52
2023-01-24,Widget C,North,628,57,Male,2.51
2023-01-24,Widget B,West,345,60,Male,4.05
2023-01-25,Widget C,East,260,48,Male,4.28
2023-01-25,Widget B,West,286,50,Female,2.76
2023-01-26,Widget B,West,660,18,Female,2.01
2023-01-27,Widget A,South,198,52,Male,3.84
2023-01-28,Widget A,East,858,54,Male,3.78
2023-01-28,Widget D,West,969,62,Male,3.29
2023-01-30,Widget C,North,266,18,Female,3.01
2023-01-31,Widget B,South,110,29,Female,4.58
2023-01-31,Widget A,West,913,31,Female,2.07
2023-01-31,Widget D,West,270,36,Male,1.26
2023-02-01,Widget A,North,164,24,Female,4.17
2023-02-02,Widget B,West,369,29,Female,4.68
2023-02-02,Widget D,East,852,42,Male,1.05
2023-02-03,Widget B,North,181,66,Male,3.44
2023-02-03,Widget C,South,144,65,Female,1.71
2023-02-03,Widget C,East,635,43,Male,3.84
2023-02-03,Widget A,North,149,29,Female,3.12
2023-02-04,Widget B,North,977,60,Male,4.41
2023-02-04,Widget A,East,694,39,Female,2.72
2023-02-05,Widget A,South,988,26,Female,2.36
2023-02-05,Widget D,West,269,49,Female,3.05
2023-02-05,Widget D,South,715,37,Female,1.34
2023-02-06,Widget B,West,660,51,Male,2.97
2023-02-08,Widget B,West,913,30,Female,3.41
2023-02-08,Widget C,East,597,51,Male,2.8
2023-02-09,Widget A,East,465,28,Male,3.08
2023-02-10,Widget B,South,577,46,Female,3.11
2023-02-10,Widget C,East,754,38,Female,3.72
2023-02-10,Widget D,East,963,28,Male,3.47
2023-02-11,Widget D,South,714,40,Male,2.74
2023-02-12,Widget C,East,561,55,Male,1.92
2023-02-14,Widget A,North,192,69,Male,4.49
2023-02-17,Widget B,North,986,21,Male,3.81
2023-02-22,Widget D,West,695,19,Male,1.74
2023-02-22,Widget A,South,570,56,Male,3.25
2023-02-23,Widget C,North,686,47,Male,2.43
2023-02-24,Widget B,South,405,21,Female,4.78
2023-02-24,Widget B,South,456,60,Male,3.1
2023-02-26,Widget C,East,455,50,Female,1.49
2023-03-01,Widget C,West,111,64,Female,1.22
2023-03-01,Widget D,South,854,22,Female,4.35
2023-03-02,Widget C,West,738,26,Male,3.4
2023-03-04,Widget D,South,351,68,Male,1.51
2023-03-05,Widget D,North,156,50,Female,4.06
2023-03-08,Widget D,South,432,35,Male,1.96
2023-03-08,Widget B,East,633,33,Male,2.33
2023-03-11,Widget D,North,503,41,Male,3.24
2023-03-12,Widget A,North,359,47,Female,2.98
2023-03-14,Widget B,North,373,56,Female,2.06
2023-03-17,Widget C,East,887,40,Female,4.39
2023-03-18,Widget B,West,973,32,Male,4.45
2023-03-21,Widget A,West,968,30,Female,4.14
2023-03-21,Widget C,North,800,26,Male,1.77
2023-03-23,Widget B,East,304,67,Male,3.03
2023-03-24,Widget D,West,374,21,Male,4.14
2023-03-25,Widget A,East,467,40,Male,2.64
2023-03-25,Widget D,West,583,33,Female,2.88
2023-03-28,Widget D,East,616,40,Female,3.96
2023-03-29,Widget A,East,620,18,Male,2.07
2023-03-29,Widget D,North,727,56,Male,3.58
2023-03-29,Widget C,West,193,40,Male,2.15
2023-03-30,Widget B,West,194,27,Female,1.65
2023-03-31,Widget A,North,675,22,Male,4.81
2023-03-31,Widget C,West,717,41,Male,1.23
2023-04-01,Widget B,South,425,26,Female,3.72
2023-04-01,Widget A,East,278,46,Female,3.87
2023-04-01,Widget A,East,698,57,Male,2.34
2023-04-02,Widget A,South,155,69,Female,3.38
2023-04-04,Widget B,West,173,61,Female,1.8
2023-04-05,Widget B,North,197,25,Male,2.18
2023-04-05,Widget B,North,616,42,Male,1.75
2023-04-05,Widget D,East,869,57,Female,1.49
2023-04-06,Widget A,East,261,28,Female,4.79
2023-04-08,Widget D,South,205,33,Female,2.03
2023-04-10,Widget C,East,660,18,Male,2.36
2023-04-12,Widget B,South,253,35,Female,2.82
2023-04-13,Widget A,West,150,67,Female,1.43
2023-04-15,Widget D,East,608,50,Female,4.29
2023-04-15,Widget C,North,601,59,Female,1.66
2023-04-16,Widget B,South,999,53,Male,2.64
2023-04-16,Widget C,South,769,60,Male,2.06
2023-04-19,Widget B,South,487,61,Male,1.26
2023-04-19,Widget A,North,823,46,Male,2.16
2023-04-20,Widget B,West,325,42,Male,1.82
2023-04-20,Widget B,East,720,56,Male,2.01
2023-04-21,Widget A,East,708,56,Male,2.68
2023-04-21,Widget C,West,216,48,Female,2.45
2023-04-22,Widget A,East,735,36,Female,4.59
2023-04-23,Widget A,West,934,35,Male,3.59
2023-04-23,Widget D,West,953,28,Male,1.9
2023-04-26,Widget A,East,101,60,Male,2.82
2023-04-27,Widget A,West,621,47,Male,2.57
2023-04-28,Widget A,South,708,32,Male,2.78
2023-04-29,Widget C,South,565,59,Male,2.67
2023-04-30,Widget A,North,993,35,Female,4.82
2023-05-03,Widget C,North,267,69,Male,2.19
2023-05-03,Widget D,West,796,33,Male,3.31
2023-05-03,Widget D,West,717,68,Female,4.94
2023-05-04,Widget C,East,658,28,Male,3.82
2023-05-04,Widget B,South,838,66,Male,3.57
2023-05-04,Widget B,West,884,64,Male,2.16
2023-05-05,Widget D,East,683,20,Male,2.48
2023-05-05,Widget C,West,922,46,Male,2.8
2023-05-08,Widget C,South,764,50,Female,4.37
2023-05-08,Widget B,East,573,29,Female,3.54
2023-05-09,Widget C,East,286,67,Male,3.72
2023-05-12,Widget A,South,200,60,Female,1.43
2023-05-12,Widget C,West,796,45,Male,1.5
2023-05-15,Widget B,North,545,66,Female,2.6
2023-05-15,Widget C,East,634,29,Female,2.22
2023-05-18,Widget B,South,282,69,Male,3.34
2023-05-18,Widget C,West,621,41,Female,1.09
2023-05-18,Widget A,West,417,22,Female,2.32
2023-05-19,Widget A,West,367,61,Male,3.36
2023-05-20,Widget C,West,954,57,Female,4.39
2023-05-25,Widget C,South,165,19,Female,4.47
2023-05-26,Widget C,South,443,66,Female,4.42
2023-05-26,Widget C,South,560,60,Male,2.31
2023-05-28,Widget B,South,934,34,Male,2.84
2023-05-29,Widget C,West,242,55,Female,2.98
2023-05-30,Widget D,East,985,62,Female,3.05
2023-05-30,Widget A,West,756,21,Male,3.32
2023-05-30,Widget C,East,815,33,Male,1.6
2023-05-31,Widget C,South,945,64,Female,3.43
2023-05-31,Widget A,North,710,63,Female,3.87
2023-05-31,Widget B,North,483,45,Male,2.99
2023-06-01,Widget B,North,324,32,Male,1.04
2023-06-01,Widget C,South,509,34,Male,2.22
2023-06-02,Widget C,South,219,53,Female,4.32
2023-06-04,Widget B,West,629,40,Male,3.05
2023-06-05,Widget D,West,354,26,Female,3.36
2023-06-05,Widget B,North,278,65,Female,1.08
2023-06-05,Widget C,South,246,54,Female,2.77
2023-06-05,Widget D,East,146,57,Female,4.72
2023-06-06,Widget C,West,641,50,Male,3.09
2023-06-07,Widget D,East,678,32,Male,2.26
2023-06-08,Widget C,West,929,39,Female,1.76
2023-06-09,Widget C,South,377,45,Female,4.8
2023-06-10,Widget D,South,799,35,Male,1.18
2023-06-10,Widget B,East,864,48,Female,3.5
2023-06-10,Widget D,West,541,31,Female,3.98
2023-06-10,Widget C,South,400,55,Male,1.45
2023-06-11,Widget D,East,610,48,Female,2.27
2023-06-14,Widget D,South,633,50,Female,4.47
2023-06-16,Widget D,West,392,66,Female,2.98
2023-06-21,Widget C,East,357,54,Male,3.94
2023-06-21,Widget D,North,396,55,Male,4.67
2023-06-21,Widget D,West,186,55,Female,3.44
2023-06-22,Widget C,East,974,61,Male,4.28
2023-06-24,Widget A,West,155,49,Female,4.54
2023-06-25,Widget B,South,691,40,Male,3.76
2023-06-26,Widget B,West,205,65,Male,3.24
2023-06-26,Widget D,East,637,50,Female,3.39
2023-06-27,Widget C,East,358,47,Male,1.04
2023-06-30,Widget A,East,613,65,Female,3.34
2023-06-30,Widget D,East,638,23,Female,4.48
2023-07-01,Widget A,South,554,32,Male,4.94
2023-07-01,Widget C,South,696,32,Female,1.21
2023-07-02,Widget B,West,731,46,Female,2.3
2023-07-03,Widget B,West,585,30,Female,3.31
2023-07-05,Widget C,East,795,57,Female,3.47
2023-07-07,Widget C,East,517,63,Female,1.21
2023-07-07,Widget A,West,714,24,Male,1.69
2023-07-11,Widget C,North,651,48,Female,4.28
2023-07-13,Widget A,West,486,49,Female,1.41
2023-07-14,Widget B,West,245,23,Male,3.41
2023-07-15,Widget A,South,315,27,Female,2.71
2023-07-17,Widget C,South,271,66,Male,3.38
2023-07-17,Widget A,South,113,52,Male,3.1
2023-07-17,Widget D,East,166,47,Male,1.84
2023-07-18,Widget B,South,970,46,Female,4.33
2023-07-18,Widget C,South,243,41,Female,4.73
2023-07-21,Widget A,North,279,69,Male,2.03
2023-07-24,Widget A,South,627,46,Male,1.85
2023-07-24,Widget D,North,628,51,Female,1.07
2023-07-24,Widget B,East,208,47,Female,3.49
2023-07-26,Widget D,East,357,47,Female,4.61
2023-07-26,Widget B,East,488,67,Female,4.28
2023-07-27,Widget C,North,893,30,Female,4.66
2023-07-29,Widget C,West,861,40,Female,2.14
2023-07-29,Widget C,West,388,46,Male,2.85
2023-07-29,Widget A,East,592,42,Female,2.98
2023-07-29,Widget B,South,181,30,Female,2.69
2023-07-30,Widget B,East,336,39,Female,4.63
2023-08-01,Widget C,East,231,53,Male,3.75
2023-08-03,Widget D,East,168,38,Male,3.72
2023-08-04,Widget B,South,605,41,Female,3.63
2023-08-04,Widget C,South,555,67,Female,2.46
2023-08-04,Widget A,North,700,61,Female,4.77
